"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,64,248735,248735,207316,0,4000000,3.50%,6.59%,
2,65,248735,248735,422854,205534,4000000,3.50%,6.59%,
3,66,248735,248735,648967,440047,4000000,3.50%,6.59%,
4,67,248735,248735,886214,685654,4000000,3.50%,6.59%,
5,68,248735,248735,1134499,942219,4000000,3.50%,6.59%,
6,69,248735,248735,1395024,1210904,4000000,3.50%,6.59%,
7,70,248735,248735,1669664,1493664,4000000,3.50%,6.59%,
8,71,248735,248735,1958811,1790771,4000000,3.50%,6.59%,
9,72,237231,237231,2253130,2092930,4000000,3.50%,6.59%,
10,73,0,0,2353331,2200851,4000000,3.50%,6.59%,
11,74,0,0,2463657,2346497,4000000,3.50%,6.59%,
12,75,0,0,2579051,2495611,4000000,3.50%,6.59%,
13,76,0,0,2700976,2648256,4000000,3.50%,6.59%,
14,77,0,0,2828739,2803779,4000000,3.50%,6.59%,
15,78,0,0,2962663,2962663,4000000,3.50%,6.59%,
16,79,0,0,3104283,3104283,4000000,3.50%,6.59%,
17,80,0,0,3253314,3253314,4000000,3.50%,6.59%,
18,81,0,0,3411072,3411072,4000000,3.50%,6.59%,
19,82,0,0,3579192,3579192,4000000,3.50%,6.59%,
20,83,0,0,3759720,3759720,4000000,3.50%,6.59%,
21,84,0,0,3957812,3957812,4155703,3.50%,6.59%,
22,85,0,0,4170014,4170014,4378515,3.50%,6.59%,
23,86,0,0,4396631,4396631,4616462,3.50%,6.59%,
24,87,0,0,4638284,4638284,4870198,3.50%,6.59%,
25,88,0,0,4895428,4895428,5140199,3.50%,6.59%,
26,89,0,0,5169062,5169062,5427515,3.50%,6.59%,
27,90,0,0,5460479,5460479,5733503,3.50%,6.59%,
28,91,0,0,5770639,5770639,6059171,3.50%,6.59%,
29,92,0,0,6108450,6108450,6352788,3.50%,6.59%,
30,93,0,0,6478998,6478998,6673368,3.50%,6.59%,
31,94,0,0,6880404,6880404,7018012,3.50%,6.59%,
32,95,0,0,7318788,7318788,7391976,3.50%,6.59%,
33,96,0,0,7801024,7801024,7801024,3.50%,6.59%,
34,97,0,0,8315039,8315039,8315039,3.50%,6.59%,
35,98,0,0,8862928,8862928,8862928,3.50%,6.59%,
36,99,0,0,9446922,9446922,9446922,3.50%,6.59%,
37,100,0,0,10069402,10069402,10069402,3.50%,6.59%,
38,101,0,0,10732976,10732976,10732976,3.50%,6.59%,
39,102,0,0,11440279,11440279,11440279,3.50%,6.59%,
40,103,0,0,12194193,12194193,12194193,3.50%,6.59%,
41,104,0,0,12997791,12997791,12997791,3.50%,6.59%,
42,105,0,0,13854345,13854345,13854345,3.50%,6.59%,
43,106,0,0,14767346,14767346,14767346,3.50%,6.59%,
44,107,0,0,15740515,15740515,15740515,3.50%,6.59%,
45,108,0,0,16777814,16777814,16777814,3.50%,6.59%,
46,109,0,0,17883472,17883472,17883472,3.50%,6.59%,
47,110,0,0,19061993,19061993,19061993,3.50%,6.59%,
48,111,0,0,20318179,20318179,20318179,3.50%,6.59%,
49,112,0,0,21657147,21657147,21657147,3.50%,6.59%,
50,113,0,0,23084353,23084353,23084353,3.50%,6.59%,
51,114,0,0,24605611,24605611,24605611,3.50%,6.59%,
52,115,0,0,26227121,26227121,26227121,3.50%,6.59%,
53,116,0,0,27955488,27955488,27955488,3.50%,6.59%,
54,117,0,0,29797755,29797755,29797755,3.50%,6.59%,
55,118,0,0,31761427,31761427,31761427,3.50%,6.59%,
56,119,0,0,33854505,33854505,33854505,3.50%,6.59%,
57,120,0,0,36085517,36085517,36085517,3.50%,6.59%,
58,121,0,0,38463553,38463553,38463553,3.50%,6.59%,
59,122,0,0,41435997,41435997,41435997,3.00%,6.59%,
60,123,0,0,42679077,42679077,42679077,3.00%,6.59%,
61,124,0,0,43959449,43959449,43959449,3.00%,6.59%,
62,125,0,0,45278233,45278233,45278233,3.00%,6.59%,
63,126,0,0,46636580,46636580,46636580,3.00%,6.59%,
