"Year","Age","Total Payment","After Tax Outlay","Account Value","Surrender Value","Death Benefit","Fixed Interest Rate","Indexed Interest Rate",
1,64,62184,62184,51775,0,1000000,3.50%,6.59%,
2,65,62184,62184,105602,51272,1000000,3.50%,6.59%,
3,66,62184,62184,162070,109840,1000000,3.50%,6.59%,
4,67,62184,62184,221318,171178,1000000,3.50%,6.59%,
5,68,62184,62184,283322,235252,1000000,3.50%,6.59%,
6,69,62184,62184,348381,302351,1000000,3.50%,6.59%,
7,70,62184,62184,416965,372965,1000000,3.50%,6.59%,
8,71,62184,62184,489171,447161,1000000,3.50%,6.59%,
9,72,60147,60147,563403,523353,1000000,3.50%,6.59%,
10,73,0,0,588406,550286,1000000,3.50%,6.59%,
11,74,0,0,615938,586648,1000000,3.50%,6.59%,
12,75,0,0,644734,623874,1000000,3.50%,6.59%,
13,76,0,0,675159,661979,1000000,3.50%,6.59%,
14,77,0,0,707039,700799,1000000,3.50%,6.59%,
15,78,0,0,740456,740456,1000000,3.50%,6.59%,
16,79,0,0,775791,775791,1000000,3.50%,6.59%,
17,80,0,0,812973,812973,1000000,3.50%,6.59%,
18,81,0,0,852329,852329,1000000,3.50%,6.59%,
19,82,0,0,894268,894268,1000000,3.50%,6.59%,
20,83,0,0,939298,939298,1000000,3.50%,6.59%,
21,84,0,0,988725,988725,1038161,3.50%,6.59%,
22,85,0,0,1041683,1041683,1093767,3.50%,6.59%,
23,86,0,0,1098239,1098239,1153151,3.50%,6.59%,
24,87,0,0,1158548,1158548,1216476,3.50%,6.59%,
25,88,0,0,1222724,1222724,1283860,3.50%,6.59%,
26,89,0,0,1291016,1291016,1355566,3.50%,6.59%,
27,90,0,0,1363746,1363746,1431933,3.50%,6.59%,
28,91,0,0,1441154,1441154,1513212,3.50%,6.59%,
29,92,0,0,1525465,1525465,1586484,3.50%,6.59%,
30,93,0,0,1617948,1617948,1666487,3.50%,6.59%,
31,94,0,0,1718135,1718135,1752497,3.50%,6.59%,
32,95,0,0,1827551,1827551,1845827,3.50%,6.59%,
33,96,0,0,1947914,1947914,1947914,3.50%,6.59%,
34,97,0,0,2076210,2076210,2076210,3.50%,6.59%,
35,98,0,0,2212959,2212959,2212959,3.50%,6.59%,
36,99,0,0,2358721,2358721,2358721,3.50%,6.59%,
37,100,0,0,2514088,2514088,2514088,3.50%,6.59%,
38,101,0,0,2679767,2679767,2679767,3.50%,6.59%,
39,102,0,0,2856363,2856363,2856363,3.50%,6.59%,
40,103,0,0,3044598,3044598,3044598,3.50%,6.59%,
41,104,0,0,3245237,3245237,3245237,3.50%,6.59%,
42,105,0,0,3459098,3459098,3459098,3.50%,6.59%,
43,106,0,0,3687053,3687053,3687053,3.50%,6.59%,
44,107,0,0,3930029,3930029,3930029,3.50%,6.59%,
45,108,0,0,4189018,4189018,4189018,3.50%,6.59%,
46,109,0,0,4465075,4465075,4465075,3.50%,6.59%,
47,110,0,0,4759323,4759323,4759323,3.50%,6.59%,
48,111,0,0,5072962,5072962,5072962,3.50%,6.59%,
49,112,0,0,5407271,5407271,5407271,3.50%,6.59%,
50,113,0,0,5763610,5763610,5763610,3.50%,6.59%,
51,114,0,0,6143432,6143432,6143432,3.50%,6.59%,
52,115,0,0,6548284,6548284,6548284,3.50%,6.59%,
53,116,0,0,6979816,6979816,6979816,3.50%,6.59%,
54,117,0,0,7439785,7439785,7439785,3.50%,6.59%,
55,118,0,0,7930067,7930067,7930067,3.50%,6.59%,
56,119,0,0,8452659,8452659,8452659,3.50%,6.59%,
57,120,0,0,9009689,9009689,9009689,3.50%,6.59%,
58,121,0,0,9603427,9603427,9603427,3.50%,6.59%,
59,122,0,0,10345430,10345430,10345430,3.00%,6.59%,
60,123,0,0,10655793,10655793,10655793,3.00%,6.59%,
61,124,0,0,10975466,10975466,10975466,3.00%,6.59%,
62,125,0,0,11304730,11304730,11304730,3.00%,6.59%,
63,126,0,0,11643872,11643872,11643872,3.00%,6.59%,
